nome,cpf,idade,data,estado,endereco
Sr. Vitor Gabriel Silva,640.719.385-01,90,1933-12-06,RONDÔNIA,"trevo emanuel silva, 482
vila tirol
47847085 pereira / ap"
Calebe Santos,651.297.384-46,40,1984-03-06,RIO DE JANEIRO,"recanto moraes, 7
ernesto nascimento
96497-621 da rosa / pb"
Maria Julia Castro,164.750.293-43,76,1947-04-12,PERNAMBUCO,"residencial de pereira, 20
jatobá
62127-165 gomes de santos / al"
Arthur Da Rosa,085.167.249-30,53,1970-04-16,SANTA CATARINA,"parque almeida, 66
vila suzana segunda seção
09805-686 santos / se"
Juan Pereira,520.876.319-21,68,1955-10-25,RIO DE JANEIRO,"rodovia de pereira, 51
estrela
44830637 mendes de moraes / ba"
Dra. Ana Laura Ribeiro,210.764.589-20,69,1954-05-09,DISTRITO FEDERAL,"esplanada lavínia ramos
são francisco
39467-536 da mata / sp"
Maria Clara Araújo,960.342.175-80,41,1983-03-14,PARANÁ,"praça cavalcanti, 65
conjunto celso machado
97788-105 vieira / ro"
Vitória Oliveira,302.568.479-83,31,1993-03-10,RORAIMA,"esplanada monteiro, 88
conjunto paulo vi
06403-281 moraes / go"
Benjamin Oliveira,451.896.703-84,49,1974-05-16,ACRE,"ladeira monteiro, 57
vila primeiro de maio
76835-491 moura dos dourados / ce"
Pietro Barros,843.095.172-50,51,1972-08-19,MINAS GERAIS,"recanto luiz miguel jesus, 35
vila aeroporto jaraguá
50536-588 oliveira de goiás / pb"
Samuel Cavalcanti,520.679.841-01,89,1934-11-26,RORAIMA,"ladeira de porto, 38
nova america
91782042 barros de da mata / to"
Ian Da Costa,384.172.609-78,23,2001-01-21,GOIÁS,"via de jesus, 57
vila da amizade
93849-206 correia / pb"
Dr. Emanuel Costa,736.581.942-19,55,1969-03-09,GOIÁS,"lago castro, 94
mariano de abreu
24415-900 porto / rj"
Larissa Da Cruz,128.953.704-60,83,1940-11-22,MATO GROSSO DO SUL,"setor isadora da rosa, 583
chácara leonina
20125668 teixeira / rr"
Diogo Carvalho,078.153.294-97,83,1941-03-10,MARANHÃO,"viaduto pedro lucas cavalcanti, 49
tiradentes
27653-901 rezende / rs"
Sr. Anthony Almeida,305.184.962-60,37,1987-02-03,BAHIA,"rua vitor hugo pinto, 21
anchieta
08712074 ramos / rj"
Clara Martins,397.201.856-86,77,1947-03-14,BAHIA,"rodovia aragão, 245
conjunto lagoa
61224-422 pinto / mg"
Dr. Luiz Felipe Cardoso,374.691.850-20,69,1954-07-20,AMAPÁ,"alameda de lima, 65
boa esperança
49621639 fernandes de moraes / pe"
Sr. Calebe Lopes,135.796.802-77,62,1961-10-19,CEARÁ,"trecho lucas sales, 24
dom bosco
09228582 da cunha alegre / ro"
Miguel Monteiro,097.521.834-41,54,1969-06-27,ACRE,"passarela igor novaes, 89
pompéia
32670-098 martins / se"
Srta. Catarina Da Mata,468.751.390-57,81,1942-07-05,ACRE,"sítio luna carvalho, 98
novo santa cecilia
32066-338 nunes / am"
João Gabriel Araújo,625.904.731-25,73,1950-09-13,RORAIMA,"esplanada de castro, 4
vila nova cachoeirinha 1ª seção
69704-913 pires / mt"
