cpf,idade,endereco,bairro,estado
..***.***01,92.0,"trevo emanuel silva, 482",vila tirol,AP
..***.***46,41.0,"recanto moraes, 7",ernesto nascimento,PB
..***.***43,78.0,"residencial de pereira, 20",jatobá,AL
..***.***30,55.0,"parque almeida, 66",vila suzana segunda seção,SE
..***.***21,69.0,"rodovia de pereira, 51",estrela,BA
..***.***20,71.0,esplanada lavínia ramos,são francisco,SP
..***.***80,42.0,"praça cavalcanti, 65",conjunto celso machado,RO
..***.***83,32.0,"esplanada monteiro, 88",conjunto paulo vi,GO
..***.***84,51.0,"ladeira monteiro, 57",vila primeiro de maio,CE
..***.***50,53.0,"recanto luiz miguel jesus, 35",vila aeroporto jaraguá,PB
..***.***01,90.0,"ladeira de porto, 38",nova america,TO
..***.***78,24.0,"via de jesus, 57",vila da amizade,PB
..***.***19,56.0,"lago castro, 94",mariano de abreu,RJ
..***.***60,85.0,"setor isadora da rosa, 583",chácara leonina,RR
..***.***97,84.0,"viaduto pedro lucas cavalcanti, 49",tiradentes,RS
..***.***60,38.0,"rua vitor hugo pinto, 21",anchieta,RJ
..***.***86,78.0,"rodovia aragão, 245",conjunto lagoa,MG
..***.***20,71.0,"alameda de lima, 65",boa esperança,PE
..***.***77,64.0,"trecho lucas sales, 24",dom bosco,RO
..***.***41,55.0,"passarela igor novaes, 89",pompéia,SE
..***.***57,83.0,"sítio luna carvalho, 98",novo santa cecilia,AM
..***.***25,75.0,"esplanada de castro, 4",vila nova cachoeirinha 1ª seção,MT
..***.***33,36.0,"estrada de aragão, 1",vila barragem santa lúcia,AC
..***.***47,46.0,via gabriela nascimento,madre gertrudes,AP
..***.***57,80.0,"travessa vinicius da mata, 52",alta tensão 1ª seção,CE
..***.***32,64.0,largo vieira,milionario,DF
..***.***69,58.0,"área lucas gabriel silveira, 51",anchieta,PE
..***.***05,61.0,"jardim isabelly gomes, 23",nossa senhora de fátima,ES
..***.***34,97.0,distrito de silveira,dona clara,AM
..***.***65,65.0,travessa ana júlia da rocha,miramar,TO
..***.***26,40.0,"avenida milena pires, 360",vila rica,AP
..***.***95,57.0,"rodovia marcelo souza, 25",estrela,RN
..***.***39,52.0,"pátio alexandre teixeira, 243",indaiá,RR
..***.***24,52.0,"via clara da rosa, 928",castelo,RR
..***.***09,60.0,"estação ribeiro, 46",venda nova,PB
..***.***17,62.0,"sítio de cavalcanti, 97",juliana,PA
..***.***03,53.0,"condomínio de rodrigues, 52",conjunto providencia,SC
..***.***95,73.0,"rodovia vieira, 63",conjunto taquaril,RN
..***.***25,33.0,"recanto de da conceição, 1",paraíso,AM
..***.***85,63.0,"setor de azevedo, 375",castanheira,AL
..***.***04,56.0,"ladeira pietra cunha, 13",vista alegre,PA
..***.***76,39.0,"vereda davi lucca barbosa, 35",estrela do oriente,GO
..***.***92,97.0,"rodovia ana júlia araújo, 68",vila real 2ª seção,PE
..***.***85,25.0,"distrito de barros, 41",suzana,RJ
..***.***48,61.0,"feira campos, 17",cruzeiro,DF
..***.***82,41.0,"avenida vitor hugo cardoso, 34",vila são rafael,SC
..***.***10,47.0,"rodovia de souza, 63",vila nova dos milionarios,MS
..***.***96,89.0,"residencial ian da paz, 6",padre eustáquio,PR
..***.***39,64.0,"ladeira de da paz, 98",jardim dos comerciarios,PE
..***.***00,46.0,"ladeira pereira, 21",buraco quente,BA
..***.***14,77.0,"área barros, 46",salgado filho,BA
..***.***52,36.0,"vereda luiz felipe costa, 70",minaslandia,DF
..***.***50,99.0,"vila sales, 97",paquetá,ES
..***.***91,26.0,"favela alana ribeiro, 318",casa branca,MS
..***.***01,37.0,"parque freitas, 82",ouro minas,AC
..***.***15,90.0,"trecho bryan da cunha, 1",betânia,PA
..***.***00,32.0,esplanada moreira,pindura saia,ES
..***.***80,24.0,"campo de barros, 16",silveira,DF
..***.***70,91.0,"distrito esther campos, 264",apolonia,PA
..***.***39,99.0,"largo pires, 78",bacurau,AP
..***.***53,51.0,campo isabelly freitas,novo santa cecilia,CE
..***.***16,71.0,favela maria novaes,savassi,RR
..***.***65,44.0,"trevo moraes, 5",cônego pinheiro 1ª seção,SP
..***.***77,99.0,"rua mendes, 337",penha,SP
..***.***29,25.0,"lagoa cardoso, 1",ambrosina,SP
..***.***50,97.0,"lago maitê campos, 31",braúnas,TO
..***.***82,94.0,"residencial barbosa, 44",zilah sposito,AP
..***.***97,37.0,"recanto de rocha, 68",conjunto califórnia i,SE
..***.***87,99.0,"vale gustavo henrique alves, 50",vila madre gertrudes 4ª seção,AL
..***.***00,88.0,vila farias,vila satélite,RN
..***.***09,24.0,"fazenda de porto, 3",senhor dos passos,MA
..***.***51,75.0,"setor miguel pires, 3",ermelinda,PA
..***.***93,,morro de castro,vila pilar,SP
..***.***98,30.0,"praça ferreira, 764",vila sumaré,CE
..***.***96,48.0,"vereda cauê novaes, 14",conjunto califórnia ii,BA
..***.***22,80.0,"fazenda de pinto, 42",são jorge 1ª seção,PR
..***.***25,83.0,"loteamento luiz felipe teixeira, 87",novo ouro preto,AM
..***.***70,39.0,"quadra emanuella da conceição, 29",cruzeiro,MS
..***.***10,64.0,"rodovia danilo costa, 17",alta tensão 2ª seção,MS
..***.***04,57.0,vila stephany lima,vista do sol,PA
..***.***05,73.0,"morro de cardoso, 47",marçola,SE
..***.***60,63.0,lagoa sarah azevedo,monsenhor messias,CE
..***.***39,92.0,"loteamento oliveira, 29",camponesa 1ª seção,PE
..***.***37,69.0,"largo nascimento, 97",delta,PR
..***.***96,72.0,Endereço inválido,Desconhecido,Estado inválido
..***.***49,41.0,"aeroporto de das neves, 7",vila sumaré,AL
..***.***31,48.0,"conjunto de cardoso, 5",vila minaslandia,PR
..***.***70,81.0,viaduto cardoso,belmonte,RO
..***.***67,56.0,fazenda de barros,boa esperança,DF
..***.***56,23.0,colônia maria vitória moura,aarão reis,GO
..***.***00,44.0,avenida de cardoso,madre gertrudes,RN
